date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2014-01-02 22:00:00,174.4,172.347,174.836,171.825,174.435,172.503,174.862,171.857,215078
2014-01-03 22:00:00,172.347,172.071,172.498,171.036,172.503,172.198,172.526,171.075,198734
2014-01-05 22:00:00,172.071,171.824,172.086,171.774,172.198,171.916,172.224,171.876,1311
2014-01-06 22:00:00,171.824,170.962,172.228,170.399,171.916,171.0,172.25,170.427,234773
2014-01-07 22:00:00,170.962,171.524,171.697,170.825,171.0,171.579,171.722,170.849,215445
2014-01-08 22:00:00,171.524,172.448,172.833,171.496,171.579,172.497,172.856,171.514,242409
2014-01-09 22:00:00,172.448,172.714,173.124,172.184,172.497,172.777,173.154,172.207,202977
2014-01-10 22:00:00,172.714,171.547,173.024,171.242,172.777,171.728,173.046,171.263,244847
2014-01-12 22:00:00,171.547,171.359,171.498,171.262,171.728,171.467,171.579,171.36,1190
2014-01-13 22:00:00,171.359,168.815,171.658,168.338,171.467,168.829,171.692,168.361,213043
2014-01-14 22:00:00,168.815,171.28,171.435,168.693,168.829,171.343,171.468,168.75,201277
2014-01-15 22:00:00,171.28,171.152,171.582,170.428,171.343,171.201,171.606,170.447,191519
2014-01-16 22:00:00,171.152,170.61,171.782,170.189,171.201,170.658,171.805,170.214,201323
2014-01-17 22:00:00,170.61,171.182,171.869,170.173,170.658,171.348,171.89,170.19,172065
2014-01-19 22:00:00,171.182,171.113,171.113,170.719,171.348,171.163,171.178,170.823,1579
2014-01-20 22:00:00,171.113,171.12,171.478,170.296,171.163,171.179,171.503,170.321,133535
2014-01-21 22:00:00,171.12,171.854,172.363,171.048,171.179,171.916,172.385,171.083,195413
2014-01-22 22:00:00,171.854,173.2,173.295,171.316,171.916,173.249,173.33,171.346,218226
2014-01-23 22:00:00,173.2,171.834,173.642,171.202,173.249,171.874,173.667,171.229,298436
2014-01-24 22:00:00,171.834,168.533,172.31,168.493,171.874,168.687,172.33,168.595,365444
2014-01-26 22:00:00,168.533,168.656,168.841,168.552,168.687,168.773,169.013,168.635,1500
2014-01-27 22:00:00,168.656,170.025,170.533,167.731,168.773,170.127,170.554,167.822,309012
2014-01-28 22:00:00,170.025,170.647,171.312,169.89,170.127,170.719,171.347,169.931,238124
2014-01-29 22:00:00,170.647,169.364,171.454,168.684,170.719,169.417,171.48,168.71,347860
2014-01-30 22:00:00,169.364,169.305,169.772,168.162,169.417,169.381,169.798,168.188,280535
2014-01-31 22:00:00,169.305,167.726,169.744,167.565,169.381,167.895,169.767,167.59,307405
2014-02-02 22:00:00,167.726,167.461,167.633,167.325,167.895,167.571,167.75,167.407,1309
2014-02-03 22:00:00,167.461,164.628,168.219,164.28,167.571,164.686,168.236,164.303,316141
2014-02-04 22:00:00,164.628,165.898,166.021,163.873,164.686,165.956,166.044,163.898,308593
2014-02-05 22:00:00,165.898,165.449,166.149,163.941,165.956,165.499,166.17,163.967,307911
2014-02-06 22:00:00,165.449,166.652,166.821,165.043,165.499,166.714,166.843,165.061,273936
2014-02-07 22:00:00,166.652,167.93,168.036,166.12,166.714,168.01,168.06,166.171,250412
2014-02-09 22:00:00,167.93,168.068,168.23,167.913,168.01,168.229,168.331,167.996,1197
2014-02-10 22:00:00,168.068,167.704,168.44,167.193,168.229,167.766,168.466,167.209,166895
2014-02-11 22:00:00,167.704,168.79,169.081,167.499,167.766,168.843,169.104,167.528,210725
2014-02-12 22:00:00,168.79,170.105,170.217,168.303,168.843,170.183,170.237,168.344,236018
2014-02-13 22:00:00,170.105,170.145,170.413,169.23,170.183,170.237,170.46,169.257,245835
2014-02-14 22:00:00,170.145,170.444,170.592,169.108,170.237,170.57,170.638,169.139,219782
2014-02-16 22:00:00,170.444,170.36,170.575,170.246,170.57,170.531,170.651,170.336,1821
2014-02-17 22:00:00,170.36,170.271,171.065,169.888,170.531,170.442,171.089,169.912,156450
2014-02-18 22:00:00,170.271,170.701,171.877,170.203,170.442,170.83,171.899,170.247,253846
2014-02-19 22:00:00,170.701,170.595,171.157,169.599,170.83,170.715,171.177,169.624,222005
2014-02-20 22:00:00,170.595,170.255,170.79,169.217,170.715,170.404,170.812,169.233,253037
2014-02-21 22:00:00,170.255,170.233,171.735,170.08,170.404,170.346,171.752,170.14,209199
2014-02-23 22:00:00,170.233,170.346,170.398,170.231,170.346,170.451,170.472,170.32,523
2014-02-24 22:00:00,170.346,170.696,170.851,169.852,170.451,170.738,170.876,169.876,192243
2014-02-25 22:00:00,170.696,170.487,171.08,170.055,170.738,170.635,171.101,170.078,215026
2014-02-26 22:00:00,170.487,170.606,170.94,169.947,170.635,170.673,170.958,169.968,225345
2014-02-27 22:00:00,170.606,170.391,170.82,169.046,170.673,170.456,170.844,169.058,249359
2014-02-28 22:00:00,170.391,170.349,171.197,169.372,170.456,170.417,171.22,169.402,273218
2014-03-02 22:00:00,170.349,169.526,169.692,169.316,170.417,169.674,169.781,169.393,2937
2014-03-03 22:00:00,169.526,169.018,170.065,168.818,169.674,169.106,170.149,168.844,259535
2014-03-04 22:00:00,169.018,170.281,170.507,168.946,169.106,170.357,170.532,168.973,224820
2014-03-05 22:00:00,170.281,171.037,171.387,170.142,170.357,171.093,171.408,170.169,201909
