date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty,accum_dist,atr,cmo,cmf,cci,ema_fast,ema_slow,hma_fast,hma_slow,mfi,obv,sma,percent_k,percent_d,smoothed_ma,true_range,ulti_osc,volatility,rsi,williams
2014-01-02 22:00:00,174.398,172.345,174.834,171.823,174.436,172.504,174.863,171.858,215078,0.0,,,,,,,,,,1.0,,,,172.504,-32.93677430411746,,,,-32.93677430411746
2014-01-03 22:00:00,172.345,172.069,172.496,171.034,172.504,172.199,172.527,171.076,198734,108885.96140593353,,,,,,,,,,-198733.0,,,,172.34347368421055,-33.37237035661747,,,,-33.37237035661747
2014-01-05 22:00:00,172.069,171.822,172.084,171.772,172.199,171.917,172.225,171.877,1311,107876.34071627831,,,,,,,,,,-200044.0,,,,172.18610332103324,-33.775118182207684,,,,-33.775118182207684
2014-01-06 22:00:00,171.822,170.96,172.226,170.397,171.917,171.001,172.251,170.428,234773,20689.658873163906,,,,,,,,,,-434817.0,,,,171.84149636522247,-35.08333452348648,,,,-35.08333452348648
2014-01-07 22:00:00,170.96,171.522,171.695,170.823,171.001,171.58,171.723,170.85,215445,165553.59358106885,,,,,,,,,,-219372.0,,,,171.7776404483407,-34.25641611562574,,,,-34.25641611562574
2014-01-08 22:00:00,171.522,172.446,172.831,171.494,171.58,172.498,172.857,171.515,242409,278268.3596019313,,,,,,,,,,23037.0,,,,171.93137979635432,-32.945343406789604,,,,-32.945343406789604
2014-01-09 22:00:00,172.446,172.712,173.122,172.182,172.498,172.778,173.155,172.208,202977,319635.3722735222,,,,,,,,,,226014.0,,,,172.09365987551155,-32.545451948756785,,,,-32.545451948756785
2014-01-10 22:00:00,172.712,171.545,173.022,171.24,172.778,171.729,173.047,171.264,244847,202498.80973847077,,,,,172.04602670806653,,,,,-18833.0,,,,172.0296319772212,-34.04361673260114,,,,-34.04361673260114
2014-01-12 22:00:00,171.545,171.357,171.496,171.26,171.729,171.468,171.58,171.361,1190,202471.64078869895,,,,,171.88197769792973,,172.06323518518516,,,-20023.0,,,,171.93794886227266,-34.416372698838906,,,,-34.416372698838906
2014-01-13 22:00:00,171.357,168.813,171.656,168.336,171.468,168.83,171.693,168.362,213043,49293.02025432684,3.947999999999979,-50.83010514665195,-0.0414238251698239,-8.553451079255135,171.0879961591571,,170.62420925925926,,,-233066.0,171.65040000000002,0.0,,171.46077306254176,-38.183921507019505,,0.8842151807975663,,-38.183921507019505
